X1  Y1  Z1  X2  Y2  Z2  D  A/V
165 1477 669 386 1528 488 27 0
221 1360 599 339 1418 506 20 0
225 645 667 575 545 428 57 0
234 1711 665 297 1726 613 79 0
288 1850 667 297 1726 613 50 0
354 367 664 477 378 561 78 0
372 1302 468 339 1418 506 21 0
411 263 671 477 378 561 23 0
533 1444 372 629 1546 331 23 0
554 1037 344 663 1065 279 20 0
581 771 363 607 715 360 25 0
590 251 544 589 403 473 21 0
606 23 673 923 102 442 39 0
627 1249 298 739 1295 241 28 0
632 497 410 637 502 405 31 0
644 1020 292 663 1065 279 19 0
667 1914 417 542 1603 396 31 0
703 724 304 607 715 360 19 0
720 617 322 602 600 394 19 0
740 1871 360 935 1859 266 20 0
761 994 234 739 1109 238 24 0
789 879 233 899 791 199 21 0
829 1960 350 935 1859 266 13 0
838 706 243 931 714 202 28 0
839 124 469 923 102 442 23 0
845 2336 542 887 2320 510 35 0
875 2128 405 887 2320 510 28 0
882 1788 265 848 1481 210 27 0
891 976 177 1224 1014  67 30 0
929 1994 319 949 1861 261 19 0
936 945 163 1179 952  84 28 0
969 1254 140 1043 1456 132 22 0
994 838 155 899 791 199 19 0
1015 508 225 913 366 317 22 0
1048 2337 451 1068 2309 426 34 0
1056 1538 140 1043 1456 132 22 0
1092 1277 100 1262 1435  69 23 0
1099 2158 331 1114 2291 399 28 0
1142 1690 145 1191 1644 121 22 0
1160 370 228 1194 287 252 22 0
1167 169 315 1170 287 259 20 0
1184 763 109 1165 700 127 22 0
1195 896  86 1179 952  84 29 0
1195 1843 174 1144 1907 210 14 0
1272 714  98 1321 659 100 21 0
1274 2086 247 1304 2026 215 30 0
1277 1192  50 1316 1237  43 21 0
1279 1707 115 1191 1644 121 20 0
1295 1237  47 1316 1237  43 20 0
1307 3 370 1626 60 291 63 0
1316 1847 147 1284 1996 207 19 0
1363 664  91 1321 659 100 21 0
1372 1637  81 1405 1566  62 21 0
1375 327 194 1342 274 223 24 0
1390 1081  31 1428 939  35 20 0
1437 2122 232 1337 2049 217 28 0
1447 1277  23 1455 1423  34 34 0
1447 1658  74 1405 1566  62 23 0
1462 1762  97 1591 2008 165 32 0
1470 2334 339 1484 2313 325 28 0
1477 212 228 1504 252 207 24 0
1492 1078  17 1545 911  24 28 0
1498 2334 335 1484 2313 325 28 0
1520 486 117 1475 461 130 21 0
1535 746  50 1551 904  24 26 0
1541 1285  13 1657 1521  29 33 0
1570 1671  63 1534 1476  31 32 0
1573 2139 223 1588 2026 173 21 0
1599 147 247 1626 60 291 22 0
1611 2336 325 1633 2318 313 57 0
1629 1147   3 1704 804  30 31 0
1637 680  56 1777 744  40 20 0
1669 2337 322 1633 2318 313 38 0
1670 1894 119 1591 2008 165 34 0
1680 487 105 1684 362 148 20 0
1707 1251   2 1835 1524  29 26 0
1712 1966 144 1630 2042 177 30 0
1720 1665  55 1739 1539  30 29 0
1726 5 318 1739 85 273 65 0
1728 1800  89 1863 1787  88 21 0
1748 1851 104 1863 1787  88 18 0
1778 641  62 1856 682  55 14 0
1781 454 115 1696 354 151 22 0
1813 1068   3 1864 867  23 24 0
1831 2237 266 1809 2177 235 12 0
1834 1980 150 1810 2047 176 26 0
1859 2210 253 1809 2177 235 12 0
1871 1719  70 1928 1760  85 13 0
1874 1246   4 2021 1421  30 33 0
1933 141 252 1864 192 222 24 0
1933 906  22 1864 867  23 23 0
1939 420 134 1945 294 183 42 0
1947 1724  77 1928 1760  85 13 0
1977 1140  11 2228 1017  55 21 0
1993 742  53 1972 671  66 23 0
2001 2236 279 2016 2019 180 23 0
2019 194 235 1879 226 207 22 0
2061 1754  98 2068 1810 114 29 0
2071 957  32 2228 1017  55 18 0
2084 458 139 2122 396 166 44 0
2093 687  77 2145 656  93 20 0
2098 1341  33 2021 1421  30 22 0
2104 1606  70 2146 1548  66 32 0
2105 2237 295 2063 2058 203 19 0
2138 720  78 2145 656  93 19 0
2157 45 336 2291 137 318 22 0
2178 345 196 2133 404 165 41 0
2179 1275  42 2539 1373 149 24 0
2189 1078  44 2630 1260 177 31 0
2208 181 275 2291 137 318 22 0
2212 1641  97 2221 1637  98 45 0
2240 869  73 2403 874 114 11 0
2242 2130 270 2063 2058 203 18 0
2305 1939 205 2311 1862 180 19 0
2336 1870 189 2311 1862 180 19 0
2341 1737 151 2246 1681 113 29 0
2342 2325 403 2403 2128 315 24 0
2343 991  85 2486 931 134 19 0
2356 392 222 2506 400 269 18 0
2383 849 112 2403 874 114 13 0
2428 4 438 2553 231 360 59 0
2476 2314 443 2403 2128 315 21 0
2585 2053 348 2514 1963 281 22 0
2607 517 268 2494 503 228 23 0
2659 2264 495 2830 2322 631 27 0
2673 5 546 2630 148 437 78 0
2683 2105 419 2807 1839 371 29 0
2704 1918 346 2807 1839 371 28 0
2753 579 316 2821 591 349 12 0
2753 773 268 2806 801 290 28 0
2760 1659 293 2908 1638 369 31 0
2766 332 415 2593 200 393 21 0
2786 189 497 2761 170 493 21 0
2809 153 531 2761 170 493 20 0
2816 2337 632 2830 2322 631 49 0
2882 274 510 2821 591 349 24 0
3003 2209 678 2957 2142 603 37 0
3122 350 647 3159 364 672 36 0
3145 1021 478 2890 941 315 30 0
3155 1993 678 2927 1656 385 74 0
3164 338 690 3159 364 672 65 0
3225 1870 682 3103 1617 496 28 0
3270 556 688 3094 679 500 66 0
3286 1732 685 3103 1617 496 71 0
3309 1132 611 3252 1241 561 34 0
3344 1539 685 2849 1229 280 26 0
3349 810 688 2975 863 378 54 0
3382 1285 685 3252 1241 561 63 0
297 1726 613 483 1616 438 81 0
339 1418 506 386 1528 488 32 0
477 378 561 589 403 473 79 0
607 715 360 602 600 394 30 0
663 1065 279 739 1109 238 28 0
