X1  Y1  Z1  X2  Y2  Z2  D  A/V
165 1477 669 175 1482 661 27 0
175 1482 661 185 1489 652 27 0
185 1489 652 195 1495 644 27 0
195 1495 644 205 1502 636 27 0
205 1502 636 215 1509 628 27 0
215 1509 628 225 1512 619 27 0
225 1512 619 235 1516 611 27 0
235 1516 611 245 1520 603 27 0
245 1520 603 255 1522 595 27 0
255 1522 595 265 1525 586 27 0
265 1525 586 275 1528 578 27 0
275 1528 578 285 1529 570 27 0
285 1529 570 295 1530 562 27 0
295 1530 562 305 1533 554 27 0
305 1533 554 315 1534 546 27 0
315 1534 546 325 1536 538 27 0
325 1536 538 335 1536 530 27 0
335 1536 530 345 1536 522 27 0
345 1536 522 355 1536 514 27 0
355 1536 514 365 1535 506 27 0
365 1535 506 375 1533 498 27 0
375 1533 498 386 1528 488 27 0
221 1360 599 231 1360 590 20 0
231 1360 590 241 1361 581 20 0
241 1361 581 251 1362 572 20 0
251 1362 572 261 1366 564 20 0
261 1366 564 271 1370 556 20 0
271 1370 556 281 1376 548 20 0
281 1376 548 291 1382 541 20 0
291 1382 541 301 1389 533 20 0
301 1389 533 311 1396 526 20 0
311 1396 526 321 1403 519 20 0
321 1403 519 339 1418 506 20 0
225 645 667 235 639 660 57 0
235 639 660 245 635 652 57 0
245 635 652 255 631 644 57 0
255 631 644 265 626 637 57 0
265 626 637 275 621 629 57 0
275 621 629 285 618 621 57 0
285 618 621 295 616 613 57 0
295 616 613 305 613 606 57 0
305 613 606 315 609 598 57 0
315 609 598 325 604 592 57 0
325 604 592 335 599 585 57 0
335 599 585 345 598 577 57 0
345 598 577 355 595 570 57 0
355 595 570 365 591 563 57 0
365 591 563 375 587 556 57 0
375 587 556 385 584 549 57 0
385 584 549 395 583 542 57 0
395 583 542 405 579 536 57 0
405 579 536 415 577 529 57 0
415 577 529 425 576 521 57 0
425 576 521 435 574 515 57 0
435 574 515 445 572 508 57 0
445 572 508 455 569 502 57 0
455 569 502 465 567 495 57 0
465 567 495 475 565 489 57 0
475 565 489 485 563 482 57 0
485 563 482 495 560 476 57 0
495 560 476 505 557 470 57 0
505 557 470 515 556 464 57 0
515 556 464 525 554 458 57 0
525 554 458 535 553 451 57 0
535 553 451 545 551 446 57 0
545 551 446 555 549 440 57 0
555 549 440 565 548 434 57 0
565 548 434 575 545 428 57 0
234 1711 665 244 1715 657 79 0
244 1715 657 254 1720 649 79 0
254 1720 649 264 1724 641 79 0
